term,Name,Count,padj,TargetSize
ko00196,Photosynthesis - antenna proteins,10,5.35e-18,117
ko00500,Starch and sucrose metabolism,5,0.0131,117
ko00195,Photosynthesis,3,0.0276,117
ko00460,Cyanoamino acid metabolism,3,0.0276,117
ko00670,One carbon pool by folate,2,0.0276,117
