"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"SRR12632445",11.6027731145574,-100.434577423157,3.3218893113834,-22.3209659872617,21.4618373245605,-39.1403639173432,6.4845489484679,-26.5139998870201,-26.0477593427466,29.4920374851,-15.2881833125953,20.2189041168108,-31.4642375852299,28.4474804101332,-23.6166743950735,4.6657501151329,-14.0434214316693,2.24675278766169,5.39637875217261,4.21615985593863,-11.0630182200513,-8.14202212024704,10.4584832543498,0.765623475766885,5.80726681217388,-4.85223188575589,-4.02231406339232,-3.3277787665649,7.50160312562543,0.659719247789037,0.737489960721621,8.52053872929842,2.13589243899031,-2.61497571643213,-8.60044833449038,-7.72276693285825,-7.07125291494472,8.26638153693272,13.9374386605735,19.2628014940451,-8.47428292971038,-0.975353183384038,-15.3754968632917,-4.62947205905782,18.0846640877123,26.6118324745991,1.40271236322341,5.70020342429438,4.32638955581514,-10.3583733939408,-22.2342884014601,-24.109218530399,32.8184396943273,27.021007318263,-2.53960529112903,-9.94521304523721,26.4933270577213,1.71786573229647,-11.9978161856564,1.21061542951786e-12
"SRR12632457",-2.26701095277397,-109.230995179939,-0.568001909827296,1.38111475602523,32.9813957266875,-58.746225814649,-4.93741699871096,-23.7183996371754,-16.3116496499228,22.7943732442776,-9.47709356879552,1.13346035600179,-22.987612911379,63.1238054948738,-11.2874839168271,10.5610017931947,-12.6917882885175,-7.5811738087418,4.23955312597522,8.01394921374478,-16.4312388262756,2.34611889980604,23.5227848622348,-12.9929672998406,-18.7843556280848,14.8757243738397,-9.4249111561218,-4.41278476514713,5.30003003088623,-1.45929001146201,6.33481157512561,-6.39535670427023,4.51272665840532,-5.20887448328845,0.110793414740852,-3.74829218284616,-13.1726267515565,0.941023034248486,0.443469066435229,4.86760539372132,13.6303538168452,-2.06058694783925,2.93484256079353,-4.95757948444761,2.78377885582236,-11.5539376423904,-1.00329968299217,-3.23205952109365,-11.7473248059031,3.869158859456,16.4140589044695,15.3328541869449,-18.0379458101954,-18.2459418508673,10.8633314803621,-4.61549024530181,-8.09809471804458,11.7769240889184,-43.6522161648354,2.32826800374009e-12
"SRR12632456",-1.7898709317388,-104.672550213458,3.22350209932328,-10.5103723004487,32.8597888817722,-49.3758384593735,-4.51171366369731,-24.551160385618,-23.7466413578423,20.3280554439503,-8.17512930936114,11.5682426794313,-22.3366521930687,67.4274969934172,-12.262252907539,10.414868484214,-20.3250101880203,-7.0212905413619,0.889303890956289,8.98766255938778,-11.6736470193331,5.99294901703785,24.0227153610235,-14.0379262393229,-9.87704592698309,22.0193809345088,-10.7414560078471,-5.63485426513799,3.72691308633607,-1.72427864099438,5.89103156352504,1.62457759746417,-1.12354185221135,3.40767288971699,5.01724174427708,2.45609810615337,-9.28825868904952,6.30470900736799,7.39424351006061,15.3847396287855,14.1622060340509,1.96477893213688,-3.66992498902506,-1.63985947203356,1.8008123355191,-1.10581486009034,0.427880374131661,0.419360672072698,-1.64189052792671,-4.69973505765538,6.90683798127598,2.9815522252759,-7.42657570264435,-8.66105475529826,-5.46824263875197,7.84876335336701,-8.2506995893249,-14.1021651695488,50.543882312709,2.03722883831622e-12
"SRR12632437",55.9599225014997,-68.1266094381499,12.4630965719192,31.8833067175585,-61.3692039776275,56.5318715124887,-27.7956566409114,18.7922331286928,-24.9412532605674,29.5993495062872,6.2273833509423,5.57751868851836,-24.0992237173799,9.42684553636122,-28.4118993324929,-3.04210050997606,-20.3126622272437,-6.96328100300235,0.722085368651245,-4.23901645775398,1.24613061112761,1.0928961392095,-6.73303013833258,4.38876293395389,27.7251041031258,-20.2120022254129,4.10794561492723,-1.572757900551,3.41968017195707,1.02268578704986,-13.5517158091823,32.6561729076882,-15.3145622547214,8.92124325258415,-4.99517317857161,31.594984223498,30.6756026245251,6.54900487013592,9.82962269557377,-6.68342703358788,-40.8036476003546,9.02834834604892,25.8930671122239,0.46173576455089,16.2484508877973,23.0215801072839,2.29640260738344,6.61243483597914,-15.4925541833852,-3.83158536015217,13.0566271388768,18.7560984368729,-0.189364136008923,-15.7553267981753,-9.16555214047386,-7.35558832621248,-6.61900054049881,-1.88120120541015,-0.813109235177311,-6.11798047119028e-13
"SRR12632436",63.8429979473619,-80.2096053384307,0.803661661510141,41.684419801251,-58.3000635211471,50.8803010668113,-23.0498648544883,6.38427546552742,-16.9027368838484,10.4520977939301,-2.17607205924411,-7.56114393000101,-22.1331259457486,20.8432563837239,-7.88129332805342,2.71922179439062,-8.88672462363892,3.16934319535304,2.93914732792544,1.40729742861079,-17.4398558266893,-3.47017010634028,2.92820746016132,3.88457524183722,1.9945602156729,6.5197277915112,-0.289568812444373,2.66080917943823,2.11300941540785,-3.53727973708056,-0.154103575091481,11.1391551685589,-9.19558711597441,18.8655375194845,-2.92547215818881,3.89142399870366,-1.77802075180644,1.62321822392021,-2.27891499281693,-30.7049758711287,3.96289298370394,6.6408930705114,32.2837746250951,8.46254080309168,-19.4814624486242,-29.4063722617447,-2.30950291830562,-2.65654910356928,46.0599401830775,-26.3091715969466,-5.66005475160679,-10.110636372209,-12.8386309636995,20.1786202199325,9.22815122491873,5.88063666526666,7.04854665643832,9.6784636278298,-0.42770262593137,-1.94298787128955e-14
"SRR12632435",58.8508306142382,-63.7741925712844,7.10929534136466,41.4688063627598,-52.600482963621,47.761033173204,-22.519569981954,9.39023885613883,-17.2869969329968,27.4607717587199,-1.93011722542988,-13.9310342950166,-18.1430897149147,3.80692817156181,-23.5621962126308,-8.19485514245863,-7.35702330986587,-10.815779437498,7.50317510324655,-13.1719264457201,-17.1098059557401,0.18119174831005,-11.829940828874,5.54695599699581,8.24049568249411,-18.9286317448324,2.09056515560088,-1.00774452933328,12.6213054975253,2.89996354886442,-9.1469731325943,33.8747663945635,-17.4021048790012,8.48512870257206,-12.9776550142003,0.0681837347925901,16.3091718249323,-18.2149988778291,-33.8958865500117,-9.05156335197347,44.5672307954999,-7.65173179602685,-32.5769830670735,-0.171114600682242,-12.8593380188955,-13.5307964599654,-1.29478424399727,-3.48053772168917,-9.44017890228173,33.518844082814,-11.8865746797353,-4.21606684399053,11.3013315823158,-4.68136880911992,-6.03773346995174,2.93558874803224,-1.08300418600962,-3.39600728529185,-0.562359237915248,-5.88092562928827e-13
"SRR12632407",71.8571563335157,-46.4223418172551,-13.2997294065332,-42.7810846338548,-1.04203106691947,-52.9262887012078,1.60976492366784,-29.7266904998235,12.0071929846386,-22.1933476013135,-18.9624831209614,0.0762032749495345,20.8473028819602,-13.8395375846375,3.9696028151466,-3.36129371467334,7.29635834916823,-10.7782333561381,-5.57073105074607,-5.808532593789,7.242468902646,9.3846362695773,-4.42387105324202,-2.94624108870243,10.6712983701512,5.48231457483987,-3.80017546239444,-1.15174463901371,-8.86018512695881,-2.69641969165018,7.50302417015801,-10.001210758572,-5.34272281218275,1.81676752142118,19.521170048212,21.1699964209956,12.9802786567746,-6.81469805976604,-8.44707585082426,3.60839238545781,25.2993990668327,11.9983872276042,17.8912688281408,-5.24968954140946,9.27594699501654,1.90832119205761,-0.301137960103794,-7.16468684013043,19.4955658986828,17.2438383951307,7.62210449819692,36.0579873776062,20.1431270471709,5.30903193999791,22.5294811038556,-33.0523084382668,19.1974475066563,4.29022367880928,8.66495625368931,-5.36171205090669e-13
"SRR12632406",69.6591900514312,-64.3963806284051,-17.2051163662631,-27.8613093770764,0.814946940072341,-47.5798236472512,10.2287432005309,-28.8344178872288,1.12580112993776,-17.7719784786518,-17.9182506027776,12.459922767487,8.32503684952085,-12.3322882767332,7.59009859102439,-6.12090082681113,8.0258426902027,-4.90578004019183,-5.78275913518249,-6.19284159603772,6.36172644153447,7.68384348188817,-6.89737151780215,1.42141549067046,6.54955329265244,7.39579897567469,-0.906422416166794,-1.40994872215824,-7.61888618468852,-2.01732658033695,2.85484370400438,-4.47798685174054,-1.27311345349351,9.24514315287905,11.4850555809025,12.724456106134,12.8097109173677,-0.368528655644532,7.84384524605424,9.30134654109629,6.05672896257677,14.1169841203888,10.9295690757854,2.72046995406607,3.26610452933972,11.2250408832101,-4.35473305915701,1.5078330269999,30.829362241624,8.31272553767488,1.08894330340887,-25.1874004127888,30.6479803288586,-23.099412864583,5.15342392610916,30.2544728258812,-32.8615470401739,-9.11815623792201,-12.1194235001211,-4.41666017994558e-14
"SRR12632405",50.1736982777829,-50.0545608148438,-10.7681803344595,-36.9907278101856,9.82130781844405,-64.2425881705594,-2.01598207196516,-15.3045136340931,5.29466793782607,-21.3378514440769,-23.0733122126661,-17.2217796895188,22.309983447988,-27.1454082720437,26.9969465658301,-6.21940072905087,1.69607798836558,-8.05585345729119,-6.64214329588552,-2.65469208990625,7.97466011669051,21.6921826230749,-5.26456464856243,-7.17616592382121,-7.25637323345619,8.90350973142569,3.3234790055743,-3.53773349127955,3.4709273947797,2.14088503076182,-8.39562951099147,11.9219230869862,-0.252139937778906,0.847036973582552,-9.59235432979172,31.111234374146,16.1869325727462,-2.72916168430738,-20.0798253295211,17.7225608795093,30.2529904077328,10.3133579698862,28.9837829831064,-6.48572566921141,11.5449067795272,-3.71311199560922,12.3633107130893,6.77609543039035,-32.6666413880066,-25.6250090163471,-15.44082394311,-13.6454323180164,-16.4610656359537,9.02292560573332,-18.6481185331308,11.828275113437,7.72977019076805,8.85952358064042,-2.64746413582766,-2.71905436534381e-13
"SRR12632430",80.24390465137,-50.2032428319779,-2.10041370002535,37.2328457635649,-70.7914727626118,40.3243641891405,-23.6429519444944,16.8950141149355,0.349751256604383,-9.54190643493113,5.38599974358927,-9.15490646148564,22.4039218984287,-0.903712307566075,-0.0480052382619307,-8.66525921634869,2.94599874908122,-13.4281583683517,-13.6520075969431,-15.2332599907666,16.708828922003,26.3741610297964,-11.7159981781318,-8.45755484958612,-8.6591133461471,19.3684031158462,-6.75866233368154,-8.70322813440131,0.267041838662237,-6.33460293159248,0.832279278848041,-4.96515036567842,-1.63496945904301,-1.04766059160545,11.9366470525198,-0.561302118921398,1.79909200133181,-2.16963942113604,7.62522714512507,23.5192287415188,-1.89466598457349,-4.59417663786945,-39.7509109877963,14.0485486789808,-30.2703525217707,-0.767535584403131,-6.73851324391592,-1.49365968971574,-1.07676406180515,-45.8394802805604,2.50210256968849,22.6366751294831,19.8515918066769,-7.09773558414872,-9.4937496510492,-2.07823409978029,-3.26918803436377,11.6922927520122,-3.26553162554166,2.28432724125316e-14
