Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA02g044420,0.6052219420854926,0.56925317082573,0.7155388193247489,0.5641271264643744,2.454141058700346
BraAnng002500,0.5987807212953339,0.5704083958342289,0.7137270423810732,0.5608766930922281,2.443792852602864
BraA10g027760,0.669660015303113,0.6328242674761868,0.7282114975159688,0.40860013810346324,2.4392959183987317
BraA02g023190,0.6502306106108183,0.6457076813925037,0.7231783770995974,0.4149932984302109,2.43410996753313
BraA01g014700,0.6052219420854926,0.5668254505334103,0.7155388193247489,0.532568173485592,2.4201543854292438
BraA07g039450,0.6052219420854926,0.5668254505334103,0.7155388193247489,0.5216249834123345,2.4092111953559865
BraA09g038010,0.5987807212953339,0.5704083958342289,0.7137270423810732,0.5168369318397801,2.399753091350416
BraA09g009990,0.6052219420854926,0.5704083958342289,0.7155388193247489,0.471648192669816,2.3628173499142866
BraA10g016270,0.5987807212953339,0.5704083958342289,0.7137270423810732,0.4683532897836392,2.3512694492942754
BraA05g036840,0.6052219420854926,0.5668254505334103,0.7155388193247489,0.43754788614866647,2.325134098092318
BraA07g015860,0.6052219420854926,0.5668254505334103,0.7155388193247489,0.43242146833670686,2.3200076802803586
BraA07g028800,0.5987807212953339,0.5704083958342289,0.7137270423810732,0.433869015928429,2.316785175439065
BraA04g007360,0.6052219420854926,0.5704083958342289,0.7155388193247489,0.403096145745422,2.2942653029898925
BraA08g026590,0.5987807212953339,0.5704083958342289,0.7137270423810732,0.3797458393031823,2.2626619988138184
BraA03g023570,0.5707002895417325,0.56925317082573,0.640880056777857,0.43169085723959294,2.2125243743849126
BraA03g002570,0.5236556807311193,0.47618796912490235,0.6318375989092847,0.548244232773196,2.1799254815385023
BraA09g010210,0.5962131423482475,0.5544882593017493,0.6493051580851208,0.37726367476218775,2.177270234497305
BraA07g036170,0.50294803637284,0.5015932628559971,0.6244648201118518,0.5368308672269592,2.165836986567648
BraA01g001720,0.5707002895417325,0.56925317082573,0.640880056777857,0.3747226024103711,2.1555561195556905
BraA03g018100,0.50294803637284,0.4601362074784909,0.6244648201118518,0.5323280254143807,2.119877089377564
BraA02g020510,0.511004822859042,0.4818981302147071,0.6272614823076142,0.4964928414925812,2.1166572768739447
BraA09g012260,0.5302320079844434,0.48570476925855816,0.5753304648687012,0.45670567023234826,2.047972912344051
BraA03g002520,0.511004822859042,0.4818981302147071,0.6272614823076142,0.4182933700593199,2.0384578054406832
BraA03g039810,0.5236556807311193,0.47618796912490235,0.6318375989092847,0.38560483422334074,2.0172860829886474
BraA02g021950,0.5302320079844434,0.48570476925855816,0.5753304648687012,0.4108432898282389,2.0021105319399415
BraA03g042290,0.50294803637284,0.4601362074784909,0.6244648201118518,0.41156318505093875,1.9991122490141215
BraA02g006630,0.5236556807311193,0.47618796912490235,0.6318375989092847,0.33551176990204656,1.967193018667353
BraA02g015010,0.5302320079844434,0.48570476925855816,0.5753304648687012,0.37516729092526924,1.966434533036972
BraA09g011580,0.5236556807311193,0.47618796912490235,0.6318375989092847,0.3156068655024172,1.9472881142677236
BraA08g030320,0.511004822859042,0.4818981302147071,0.6272614823076142,0.30217871270193875,1.9223431480833022
BraA03g056060,0.5302320079844434,0.48570476925855816,0.5753304648687012,0.3035175178318314,1.8947847599435341
BraA06g027220,0.49881297282833836,0.5015932628559971,0.562913226999365,0.31768387176554636,1.881003334449247
BraA06g018290,0.511004822859042,0.4818981302147071,0.6272614823076142,0.25863843686484694,1.8788028722462102
BraA08g025260,0.41747163307949814,0.3723584155389589,0.5388204143370511,0.5303231576072941,1.8589736205628022
BraA03g040000,0.4338272798464519,0.40538220616287896,0.5456210735220673,0.4559721846076436,1.8408027441390418
