Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA03g027460,1,1,1,1,4
BraA02g010960,1,1,1,0.8831040380618002,3.8831040380618003
BraA03g011140,1,1,1,0.8786834361518492,3.8786834361518494
BraA09g033030,1,1,1,0.8535107702485218,3.853510770248522
BraA02g043270,1,1,1,0.7880606330721707,3.7880606330721704
BraA09g033420,1,1,1,0.7583737607260304,3.7583737607260304
BraA06g026070,1,1,1,0.7334660211715993,3.7334660211715995
BraA10g028190,1,1,1,0.6967456117623856,3.6967456117623856
BraA02g043370,1,1,1,0.6814209330757558,3.681420933075756
BraA06g002020,1,1,1,0.6571408116211346,3.657140811621135
BraA01g005960,1,1,1,0.6535092868251797,3.6535092868251797
BraA07g000650,1,1,1,0.6534104473277071,3.6534104473277074
BraA06g012360,1,1,1,0.6458825760073437,3.6458825760073434
BraA06g033910,1,1,1,0.6458057728687404,3.6458057728687403
BraA10g033710,1,1,1,0.6424338377030846,3.6424338377030847
BraA02g009660,1,1,1,0.6320272154769043,3.632027215476904
BraA06g044090,1,1,1,0.6296567910335614,3.6296567910335615
BraA07g008550,1,1,1,0.5878827122525433,3.587882712252543
BraA02g021800,1,1,1,0.5808488702827386,3.580848870282739
BraA01g004570,1,1,1,0.5592327570611432,3.5592327570611433
BraA06g045850,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.80205042563408,3.393281311221726
BraA03g000890,0.8538701343906273,0.8417481422292529,0.9029326776842749,0.7904255369866057,3.388976491290761
BraA05g016600,0.8538701343906273,0.835801693803248,0.9029326776842749,0.6570530883237929,3.2496575942019432
BraA03g020620,0.8538701343906273,0.835801693803248,0.9029326776842749,0.6539146649933786,3.2465191708715286
BraA01g018580,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.6452809952143865,3.236511880802033
BraA04g013030,0.8538701343906273,0.835801693803248,0.9029326776842749,0.5913964019981469,3.184000907876297
BraA01g009010,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.5830083294037486,3.174239214991395
BraA03g000100,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.5744996152068363,3.1657305007944827
BraA03g040990,0.8538701343906273,0.835801693803248,0.9029326776842749,0.5473038643564562,3.1399083702346062
BraA01g011510,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.5395375891002568,3.130768474687903
BraA03g048080,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.5303021251398377,3.121533010727484
BraA03g065410,0.8471844926173593,0.8417481422292529,0.9022982507410342,0.483548421587506,3.0747793071751524
BraA07g005980,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.7622938972998693,3.0470586684743823
